Concept name	OntologyNodes	Assigned indicator	Default indicator match	Description	DatamartIdentifier1	DatamartIdentifier2	DatamartIdentifier3	Cheryl's Score for CauseMos Default Indicator	Cheryl's Better Default Available (Yes/No/Node Issue)	Cheryl's Composite Score for CauseMos Default	Cheryl's Score for UAZ Indicators	Cheryl's Better Sets Available (BeatsBest/BetterCoverage/No)	Cheryl's Composite Score for UAZ	"Cheryl's Causemos Default beats UAZ (1 if true, blank if not)"	"Cheryl's UAZ beats Causemos Default (1 if true, blank if not)"	Robyn's Score for Default Indicator	Robyn's Better Default Available (Yes/No/Node Issue)	Robyn's composite score for Default Indicator	Robyn's Score for UAZ Indicators	Robyn's Better Sets Available (BeatsBest/BetterCoverage/No)	Robyn's composite score for UAZ indicators	"Robyn's Causemos Default beats UAZ (1 if true, blank if not)"	"Robyn's UAZ beats Causemos Default (1 if true, blank if not)"	Cheryl's Datamart 1	Cheryl's Datamart 1 Description	Gold1a	Cheryl's  Datamart2	Cheryl's Datamart2 Description	Gold2a	Cheryl's Datamart 3	Cheryl's Datamart 3 Description	Gold3a	Cheryl's Comments	RK Dataset 1	RK Output 1	Gold1b	RK Dataset 2	RK Output 2	Gold2b	RK Dataset 3	RK Output 3	Gold3b	Robyn's Notes																									
wm/concept/entity/african_governments_elites	wm/concept/entity/african_governments wm/concept/entity/people/elites	Pres Vote Share	null		DOJO/WDI_urban_population_of_total_population/urban_population_of_total_population	DOJO/WDI_urban_population_growth_annual/urban_population_growth_annual	DOJO/WDI_urban_population/urban_population																																																													
wm/concept/entity/african_governments_flu	wm/concept/entity/african_governments wm/concept/health/disease/flu	Pres Vote Share	null		DOJO/WDI_urban_population_of_total_population/urban_population_of_total_population	DOJO/WDI_life_expectancy_at_birth_female_years/life_expectancy_at_birth_female_years	DOJO/WDI_life_expectancy_at_birth_male_years/life_expectancy_at_birth_male_years																																																													
wm/concept/entity/african_governments_government_entity	wm/concept/entity/african_governments wm/concept/entity/government_entity	Pres Vote Share	DOJO/e7160d9e-a5f3-42fe-abc6-e9e1b296c2ce/Admin2		DOJO/WDI_net_official_flows_from_un_agencies_unta_current_us/net_official_flows_from_un_agencies_unta_current_us	DOJO/WDI_net_official_flows_from_un_agencies_unece_current_us/net_official_flows_from_un_agencies_unece_current_us	DOJO/WDI_net_official_flows_from_un_agencies_iaea_current_us/net_official_flows_from_un_agencies_iaea_current_us																																																													
wm/concept/entity/african_governments_instability	wm/concept/entity/african_governments wm/property/instability	X1: External Intervention	null		DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nregion	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/country																																																													
wm/concept/entity/african_governments_intervention	wm/concept/entity/african_governments wm/concept/intervention	Pres Vote Share	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/Number Of Wounded	",""name"":""Islamist terrorist attacks in the world (1979-2017 possible estimate) - Africa and Middle East - Attentats-islamistes-1979-2017-Africa-MiddleEast-Possible-Estimate.xlsx,""description"":""Country of Terrorist Incident"""	DOJO/WDI_domestic_general_government_health_expenditure_of_current_health_expenditure/domestic_general_government_health_expenditure_of_current_health_expenditure	DOJO/WDI_net_oda_provided_total_constant_2015_us/net_oda_provided_total_constant_2015_us	DOJO/WDI_net_oda_provided_total_current_us/net_oda_provided_total_current_us	1	Node Issue	N/A	3	Node Issue	N/A			1	Node Issue	N/A	2	Node Issue	N/A												"Does the node concept refer to intervention by African governments into economy. health, etc. of their citizens, or outside intervention into the affairs of African governments?  The Causemos default is Islamist Terrorist Attacks in the World - Africa and the Middle East/number of wounded.  This seems inappropriate. UAZ returns relate to government-internal and external interventions.  "	Fragile States Index	X1: External Intervention		World Development Indicators	Primary government expenditures as a proportion of original approved budget (%)		World Development Indicators	"Domestic general government health expenditure per capita, PPP (current international $)"		which governments' intervention in what?																									
wm/concept/entity/al-shabaab	wm/concept/entity/al-shabaab	null	null		DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/UAZ_VUAZ-8381/VUAZ-8381	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/admin1																																																													
wm/concept/entity/al-shabaab_attack	wm/concept/entity/al-shabaab wm/process/conflict/attack	null	null		DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/UAZ_VUAZ-6885/VUAZ-6885	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED																																																													
wm/concept/entity/animal_illness	wm/concept/entity/animal wm/concept/health/disease/illness	"Maize (Area harvested, units = ha)"	null		DOJO/UAZ_VUAZ-8193/VUAZ-8193	DOJO/UAZ_VUAZ-8192/VUAZ-8192	DOJO/UAZ_VUAZ-8191/VUAZ-8191																																																													
wm/concept/entity/border	wm/concept/entity/border	"Internally Displaced Persons, Total Displaced By Conflict And Violence (Number Of People)"	null		DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nborder	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/country	DOJO/fed1b025-a039-4a60-b033-59114ede203e/country																																																													
wm/concept/entity/border	wm/concept/entity/border	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	null		DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nborder	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/country	DOJO/fed1b025-a039-4a60-b033-59114ede203e/country																																																													
wm/concept/entity/border_bridge	wm/concept/entity/border wm/concept/infrastructure/transportation/bridge	"Internally Displaced Persons, Total Displaced By Conflict And Violence (Number Of People)"	null		DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nborder	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/country	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/country																																																													
wm/concept/entity/border_conflict	wm/concept/entity/border wm/process/conflict/	X1: External Intervention	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/country_non_primary	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/country_non_primary																																																													
wm/concept/entity/drone_attack	wm/concept/entity/drone wm/process/conflict/attack	null	null		DOJO/UAZ_VUAZ-7354/VUAZ-7354	DOJO/UAZ_VUAZ-7355/VUAZ-7355	DOJO/WDI_armed_forces_personnel_total/armed_forces_personnel_total																																																													
wm/concept/entity/field_reports	wm/concept/entity/field_reports	"Beans, dry (Area harvested, units = ha)"	"DOJO/UAZ_VUAZ-2315/FAO: Gross Production Value (constant 2004-2006 million SLC), Meat indigenous, pig[SLC]"		DOJO/WDI_nitrous_oxide_emissions_change_from_1990/nitrous_oxide_emissions_change_from_1990	DOJO/WDI_methane_emissions_change_from_1990/methane_emissions_change_from_1990	DOJO/179a1dee-b8cf-411d-8a70-5a37275eb071/Sea Level Rise (mm) RCP 2.6																																																													
wm/concept/entity/government_entity	wm/concept/entity/government_entity	Overall Government (Covid) Response Index	DOJO/e7160d9e-a5f3-42fe-abc6-e9e1b296c2ce/Admin2		DOJO/WDI_cpia_quality_of_public_administration_rating_1_low_to_6_high/cpia_quality_of_public_administration_rating_1_low_to_6_high	DOJO/UAZ_VUAZ-7028/VUAZ-7028	DOJO/WDI_claims_on_central_government_annual_growth_as_of_broad_money/claims_on_central_government_annual_growth_as_of_broad_money																																																													
wm/concept/entity/government_entity	wm/concept/entity/government_entity	null	DOJO/e7160d9e-a5f3-42fe-abc6-e9e1b296c2ce/Admin2		DOJO/WDI_cpia_quality_of_public_administration_rating_1_low_to_6_high/cpia_quality_of_public_administration_rating_1_low_to_6_high	DOJO/UAZ_VUAZ-7028/VUAZ-7028	DOJO/WDI_claims_on_central_government_annual_growth_as_of_broad_money/claims_on_central_government_annual_growth_as_of_broad_money																																																													
wm/concept/entity/government_entity_population_growth	wm/concept/entity/government_entity wm/concept/population_demographics/population_density/population_growth	GDP Per Capita Growth (Annual %)	null		DOJO/WDI_population_growth_annual/population_growth_annual	DOJO/WDI_urban_population_growth_annual/urban_population_growth_annual	DOJO/WDI_population_total/population_total																																																													
wm/concept/entity/humanitarian_actors	wm/concept/entity/humanitarian_actors	S2: Refugees And IDPs	DOJO/e7160d9e-a5f3-42fe-abc6-e9e1b296c2ce/Actor1		DOJO/UAZ_VUAZ-7430/VUAZ-7430	DOJO/WDI_domestic_general_government_health_expenditure_of_current_health_expenditure/domestic_general_government_health_expenditure_of_current_health_expenditure	DOJO/UAZ_VUAZ-7429/VUAZ-7429																																																													
wm/concept/entity/indigenous_communities	wm/concept/entity/indigenous_communities	Indigenous	null		DOJO/WDI_urban_population_of_total_population/urban_population_of_total_population	DOJO/UAZ_VUAZ-7714/VUAZ-7714	DOJO/UAZ_VUAZ-7712/VUAZ-7712																																																													
wm/concept/entity/international_organizations	wm/concept/entity/international_organizations	PEI Index	null		DOJO/UAZ_VUAZ-7162/VUAZ-7162	DOJO/UAZ_VUAZ-7143/VUAZ-7143	DOJO/UAZ_VUAZ-7270/VUAZ-7270																																																													
wm/concept/entity/international_organizations_international	wm/concept/entity/international_organizations wm/property/geographic_resolution/international	Fragile States Index	null		DOJO/UAZ_VUAZ-7270/VUAZ-7270	DOJO/UAZ_VUAZ-7143/VUAZ-7143	DOJO/UAZ_VUAZ-7162/VUAZ-7162																																																													
wm/concept/entity/international_organizations_international	wm/concept/entity/international_organizations wm/property/geographic_resolution/international	PEI Index	null		DOJO/UAZ_VUAZ-7270/VUAZ-7270	DOJO/UAZ_VUAZ-7143/VUAZ-7143	DOJO/UAZ_VUAZ-7162/VUAZ-7162																																																													
wm/concept/entity/international_organizations_trend	wm/concept/entity/international_organizations wm/concept/trend	PEI Index	null		DOJO/WDI_gross_domestic_savings_current_us/gross_domestic_savings_current_us	DOJO/WDI_gross_domestic_savings_current_lcu/gross_domestic_savings_current_lcu	DOJO/WDI_gross_national_expenditure_current_us/gross_national_expenditure_current_us																																																													
wm/concept/entity/locations/city	wm/concept/entity/locations/city	Even Split Commitments	DOJO/b6857933-3449-4b5d-9499-5e58c4a56771/Country		DOJO/WDI_population_in_largest_city/population_in_largest_city	DOJO/UAZ_VUAZ-7570/VUAZ-7570	DOJO/WDI_population_in_the_largest_city_of_urban_population/population_in_the_largest_city_of_urban_population																																																													
wm/concept/entity/locations/neighboring_country	wm/concept/entity/locations/neighboring_country	E1: Economy	DOJO/0f341aa6-3727-4fd9-812c-c0751dc6e597/country	",""name"":""Population Model output"""	DOJO/WDI_population_in_largest_city/population_in_largest_city	DOJO/WDI_urban_population_of_total_population/urban_population_of_total_population	DOJO/WDI_population_in_the_largest_city_of_urban_population/population_in_the_largest_city_of_urban_population	1	Node Issue	N/A	1	Node Issue	N/A			1	Node Issue	N/A	1	Node Issue	N/A												This doesn't appear to be a node that one would expect to quantify. What are the measures of interest  related to neighboring country?  Causemos default is Population Model output/country. UAZ returns all also refer to population.	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	nborder - number of neighboring states sharing a border with the identified state								What about the neighboring countries? (Probably they want to talk about instability in neighboring countries spilling over or causing migration but as is this is an underspecified node)																									
wm/concept/entity/locations/neighboring_country_travel	wm/concept/entity/locations/neighboring_country wm/process/travel	E1: Economy	null		DOJO/WDI_merchandise_exports_to_low_and_middle_income_economies_in_middle_east_north_africa_of_total_merchandise_exports/merchandise_exports_to_low_and_middle_income_economies_in_middle_east_north_africa_of_total_merchandise_exports	DOJO/WDI_urban_population/urban_population	DOJO/WDI_population_in_largest_city/population_in_largest_city																																																													
wm/concept/entity/lord's_resistance_army	wm/concept/entity/lord's_resistance_army	C1: Security Apparatus	null		DOJO/UAZ_VUAZ-6885/VUAZ-6885	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/admin2																																																													
wm/concept/entity/military_exercise	wm/concept/entity/military_exercise	"Beans, dry (Area harvested, units = ha)"	null		DOJO/UAZ_VUAZ-6885/VUAZ-6885	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nregion																																																													
wm/concept/entity/military_exercise	wm/concept/entity/military_exercise	Fragile States Index	null		DOJO/UAZ_VUAZ-6885/VUAZ-6885	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nregion																																																													
wm/concept/entity/military_exercise	wm/concept/entity/military_exercise	Military Expenditure	null		DOJO/UAZ_VUAZ-6885/VUAZ-6885	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nregion																																																													
wm/concept/entity/military_exercise	wm/concept/entity/military_exercise	OxCGRT Government Response Index with COVID-19 data for East Africa (OxCGRT_government_response_index-East-Africa.xlsx)	null		DOJO/UAZ_VUAZ-6885/VUAZ-6885	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nregion																																																													
wm/concept/entity/military_exercise	wm/concept/entity/military_exercise	SIPRI Military Expenditure	null		DOJO/UAZ_VUAZ-6885/VUAZ-6885	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nregion																																																													
wm/concept/entity/military_power	wm/concept/entity/military_power	Military Expenditure	null		DOJO/UAZ_VUAZ-6885/VUAZ-6885	DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nregion	DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nborder																																																													
wm/concept/entity/military_power_consumption	wm/concept/entity/military_power wm/process/consumption	Military Expenditure	null		DOJO/WDI_armed_forces_personnel_total/armed_forces_personnel_total	DOJO/WDI_armed_forces_personnel_of_total_labor_force/armed_forces_personnel_of_total_labor_force	DOJO/WDI_military_expenditure_of_gdp/military_expenditure_of_gdp																																																													
wm/concept/entity/military_power_defeat	wm/concept/entity/military_power wm/process/conflict/defeat	Military Expenditure	null		DOJO/UAZ_VUAZ-6885/VUAZ-6885	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/country_non_primary																																																													
wm/concept/entity/military_power_defeat	wm/concept/entity/military_power wm/process/conflict/defeat	SIPRI Military Expenditure	null		DOJO/UAZ_VUAZ-6885/VUAZ-6885	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/country_non_primary																																																													
wm/concept/entity/multilateral_system	wm/concept/entity/multilateral_system	Fragile States Index	DOJO/WDI_net_official_development_assistance_received_constant_2015_us/Net official development assistance received (constant 2015 US$)		DOJO/WDI_net_oda_provided_total_current_us/net_oda_provided_total_current_us	DOJO/WDI_net_oda_provided_total_constant_2015_us/net_oda_provided_total_constant_2015_us	DOJO/WDI_domestic_general_government_health_expenditure_of_current_health_expenditure/domestic_general_government_health_expenditure_of_current_health_expenditure																																																													
wm/concept/entity/multilateral_system	wm/concept/entity/multilateral_system	X1: External Intervention	DOJO/WDI_net_official_development_assistance_received_constant_2015_us/Net official development assistance received (constant 2015 US$)		DOJO/WDI_net_oda_provided_total_current_us/net_oda_provided_total_current_us	DOJO/WDI_net_oda_provided_total_constant_2015_us/net_oda_provided_total_constant_2015_us	DOJO/WDI_domestic_general_government_health_expenditure_of_current_health_expenditure/domestic_general_government_health_expenditure_of_current_health_expenditure																																																													
wm/concept/entity/nonstate_actors	wm/concept/entity/nonstate_actors	"MAJOR EPISODES OF POLITICAL VIOLENCE (MEPV) AND CONFLICT REGIONS, 1946-2018 (MEPVv2018.xlsx)"	DOJO/e7160d9e-a5f3-42fe-abc6-e9e1b296c2ce/Assoc Actor 2		DOJO/WDI_external_health_expenditure_of_current_health_expenditure/external_health_expenditure_of_current_health_expenditure	DOJO/UAZ_VUAZ-7852/VUAZ-7852	DOJO/UAZ_VUAZ-7092/VUAZ-7092																																																													
wm/concept/entity/nonstate_actors	wm/concept/entity/nonstate_actors	X1: External Intervention	DOJO/e7160d9e-a5f3-42fe-abc6-e9e1b296c2ce/Assoc Actor 2		DOJO/WDI_external_health_expenditure_of_current_health_expenditure/external_health_expenditure_of_current_health_expenditure	DOJO/UAZ_VUAZ-7852/VUAZ-7852	DOJO/UAZ_VUAZ-7092/VUAZ-7092																																																													
wm/concept/entity/organization	wm/concept/entity/organization	"Beans, dry (Area harvested, units = ha)"	null		DOJO/WDI_cpia_policies_for_social_inclusion_equity_cluster_average_1_low_to_6_high/cpia_policies_for_social_inclusion_equity_cluster_average_1_low_to_6_high	DOJO/WDI_net_oda_provided_total_current_us/net_oda_provided_total_current_us	DOJO/WDI_net_oda_provided_to_the_least_developed_countries_current_us/net_oda_provided_to_the_least_developed_countries_current_us																																																													
wm/concept/entity/organization	wm/concept/entity/organization	"Macro-Statistics_Key_Indicators_Value Local Currency, 2015 prices"	null		DOJO/WDI_cpia_policies_for_social_inclusion_equity_cluster_average_1_low_to_6_high/cpia_policies_for_social_inclusion_equity_cluster_average_1_low_to_6_high	DOJO/WDI_net_oda_provided_total_current_us/net_oda_provided_total_current_us	DOJO/WDI_net_oda_provided_to_the_least_developed_countries_current_us/net_oda_provided_to_the_least_developed_countries_current_us																																																													
wm/concept/entity/organization	wm/concept/entity/organization	State Fragility Index and Matrix - 1995-2018 (SFIv2018.xls)	null		DOJO/WDI_cpia_policies_for_social_inclusion_equity_cluster_average_1_low_to_6_high/cpia_policies_for_social_inclusion_equity_cluster_average_1_low_to_6_high	DOJO/WDI_net_oda_provided_total_current_us/net_oda_provided_total_current_us	DOJO/WDI_net_oda_provided_to_the_least_developed_countries_current_us/net_oda_provided_to_the_least_developed_countries_current_us																																																													
wm/concept/entity/people	wm/concept/entity/people/	People (Millions)	null		DOJO/UNHCR_Refugees/others_of_concern	DOJO/126560a1-0e51-43c5-939e-179501abb9bb/IDPs of concern to UNHCR	DOJO/101e8e84-d759-4d14-92c3-cd430bade617/IDPs of concern to UNHCR																																																													
wm/concept/entity/people/activist	wm/concept/entity/people/activist	People (Millions)	null		DOJO/UAZ_VUAZ-8123/VUAZ-8123	DOJO/UAZ_VUAZ-8121/VUAZ-8121	DOJO/7d515be6-c28a-4895-82ea-035088886dfe/Event Count	0	Node Issue	N/A	1	Node Issue	N/A			0	yes	1	2	BeatsBest/BetterCoverage	2		1										"The node concept is underspecified.  This may not be  a node that the developer expected to quantify, although an estimate of the number of activists in the country or at specific events could be of interest.  UAZ's first two returns (""WDI: Women who believe a husband is justified in beating his wife when she argues with him[%]"" and ""WDI: Women who believe a husband is justified in beating his wife when she goes out without telling him[%]"") are not close to the topic. The third return is from the  ""Database on Suicide Attacks"""	Fragile States Index	"c3: group grievance - the group grievance indicator focuses on divisions and schisms between different groups in society - particularly divisions based on social or political characteristics - and their role in access to services or resources, and inclusion in the political process. group grievance may also have a historical component, where aggrieved communal groups cite injustices of the past, sometimes going back centuries, that influence and shape that group's role in society and relationships with other groups. this history may in turn be shaped by patterns of real or perceived atrocities or 'crimes' committed with apparent impunity against communal groups. groups may also feel aggrieved because they are denied autonomy, self-determination or political independence to which they believe they are entitled. the indicator also considers where specific groups are singled out by state authorities, or by dominant groups, for persecution or repression, or where there is public scapegoating of groups believed to have acquired wealth, status or power 'illegitimately', which may manifest itself in the emergence of fiery rhetoric, such as through 'hate' radio, pamphleteering, and stereotypical or nationalistic political speech."		"Nonviolent and Violent Campaigns and Outcomes Dataset, v. 3.0 - Kenya, South Sudan, Sudan (navco3-0_Kenya_South-Sudan_Sudan.xlsx)"	"campaign event count - used to permit causemos to visualize events on a map. permits one to count different types and conditions of events (e.g., count/display the number of protest events in a country)."		MITRE June Embed Test - Djibouti Fragile States Indices	Inter1		"Inter1 = A numeric code indicating the type of ACTOR1. 1 = state forces, 2 = rebel groups, 3 = political militias, 4 = identity militias, 5 = rioters, 6 = protesters, 7 = civilians, 8 = external/other"																									
wm/concept/entity/people/adviser	wm/concept/entity/people/adviser	People (Millions)	null		DOJO/WDI_researchers_in_r_d_per_million_people/researchers_in_r_d_per_million_people	DOJO/WDI_specialist_surgical_workforce_per_100_000_population/specialist_surgical_workforce_per_100_000_population	DOJO/WDI_technicians_in_r_d_per_million_people/technicians_in_r_d_per_million_people																																																													
wm/concept/entity/people/child_or_youth_people	wm/concept/entity/people/child_or_youth wm/concept/entity/people/	People (Millions)	null		DOJO/UAZ_VUAZ-8110/VUAZ-8110	DOJO/WDI_teenage_mothers_of_women_ages_15_19_who_have_had_children_or_are_currently_pregnant/teenage_mothers_of_women_ages_15_19_who_have_had_children_or_are_currently_pregnant	DOJO/WDI_children_0_14_living_with_hiv/children_0_14_living_with_hiv																																																													
wm/concept/entity/people/child_or_youth_risk	wm/concept/entity/people/child_or_youth wm/property/risk	People (Millions)	DOJO/DHS_Nutrition/Children stunted		DOJO/UAZ_VUAZ-7296/VUAZ-7296	DOJO/WDI_teenage_mothers_of_women_ages_15_19_who_have_had_children_or_are_currently_pregnant/teenage_mothers_of_women_ages_15_19_who_have_had_children_or_are_currently_pregnant	DOJO/WDI_lifetime_risk_of_maternal_death/lifetime_risk_of_maternal_death																																																													
wm/concept/entity/people/detainee	wm/concept/entity/people/detainee	People (Millions)	null		DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/fed1b025-a039-4a60-b033-59114ede203e/NUMBER OF WOUNDED																																																													
wm/concept/entity/people/household_crime	wm/concept/entity/people/household wm/concept/crisis_or_disaster/conflict/crime	People (Millions)	null		DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/NUMBER OF DEATHS	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/NUMBER OF DEATHS	DOJO/fed1b025-a039-4a60-b033-59114ede203e/NUMBER OF DEATHS																																																													
wm/concept/entity/people/household_income	wm/concept/entity/people/household wm/concept/economy/income	People (Millions)	DOJO/7dbba64c-d0d2-44a9-aed5-d3c746b78605/Household Uuid		DOJO/WDI_net_primary_income_net_income_from_abroad_constant_lcu/net_primary_income_net_income_from_abroad_constant_lcu	DOJO/WDI_net_primary_income_net_income_from_abroad_current_us/net_primary_income_net_income_from_abroad_current_us	DOJO/WDI_net_primary_income_net_income_from_abroad_current_lcu/net_primary_income_net_income_from_abroad_current_lcu																																																													
wm/concept/entity/people/household_vulnerability	wm/concept/entity/people/household wm/property/vulnerability	People (Millions)	null		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/S1: Demographic Pressures	DOJO/WDI_urban_population_of_total_population/urban_population_of_total_population	DOJO/WDI_urban_population/urban_population																																																													
wm/concept/entity/people/law_enforcement_officials	wm/concept/entity/people/law_enforcement_officials	FSI dataset	DOJO/7d515be6-c28a-4895-82ea-035088886dfe/Event Count - Count of Suicide Attack Events		DOJO/WDI_armed_forces_personnel_total/armed_forces_personnel_total	DOJO/UAZ_VUAZ-7353/VUAZ-7353	DOJO/WDI_armed_forces_personnel_of_total_labor_force/armed_forces_personnel_of_total_labor_force																																																													
wm/concept/entity/people/law_enforcement_officials	wm/concept/entity/people/law_enforcement_officials	People (Millions)	DOJO/7d515be6-c28a-4895-82ea-035088886dfe/Event Count - Count of Suicide Attack Events		DOJO/WDI_armed_forces_personnel_total/armed_forces_personnel_total	DOJO/UAZ_VUAZ-7353/VUAZ-7353	DOJO/WDI_armed_forces_personnel_of_total_labor_force/armed_forces_personnel_of_total_labor_force																																																													
wm/concept/entity/people/law_enforcement_officials	wm/concept/entity/people/law_enforcement_officials	Prevalence	DOJO/7d515be6-c28a-4895-82ea-035088886dfe/Event Count - Count of Suicide Attack Events		DOJO/WDI_armed_forces_personnel_total/armed_forces_personnel_total	DOJO/UAZ_VUAZ-7353/VUAZ-7353	DOJO/WDI_armed_forces_personnel_of_total_labor_force/armed_forces_personnel_of_total_labor_force																																																													
wm/concept/entity/people/law_enforcement_officials_hostility	wm/concept/entity/people/law_enforcement_officials wm/concept/crisis_or_disaster/conflict/hostility	Prevalence	null		DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/d0762e9f-85f2-476b-872c-600bf2bc4b0b/NUMBER OF WOUNDED	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/NUMBER OF WOUNDED																																																													
wm/concept/entity/people/maternal	wm/concept/entity/people/maternal	People (Millions)	null		DOJO/UAZ_VUAZ-7456/VUAZ-7456	DOJO/UAZ_VUAZ-8315/VUAZ-8315	DOJO/UAZ_VUAZ-8301/VUAZ-8301																																																													
wm/concept/entity/people/men_election	wm/concept/entity/people/men wm/concept/government/election	People (Millions)	null		DOJO/d3b38047-15b9-4032-b745-ccc6734972fd/office	DOJO/e8f6aa91-2b52-4daa-b15b-ac1deac63940/office	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Total vote																																																													
wm/concept/entity/people/migration	wm/concept/entity/people/migration/	People (Millions)	null		DOJO/UAZ_VUAZ-8238/VUAZ-8238	DOJO/UAZ_VUAZ-8239/VUAZ-8239	DOJO/UAZ_VUAZ-8246/VUAZ-8246																																																													
wm/concept/entity/people/migration	wm/concept/entity/people/migration/	World Bank Conflict Indicators	null		DOJO/UAZ_VUAZ-8238/VUAZ-8238	DOJO/UAZ_VUAZ-8239/VUAZ-8239	DOJO/UAZ_VUAZ-8246/VUAZ-8246																																																													
wm/concept/entity/people/migration/migrant	wm/concept/entity/people/migration/migrant	People (Millions)	null		DOJO/WDI_benefit_incidence_of_unemployment_benefits_and_almp_to_poorest_quintile_of_total_u_almp_benefits/benefit_incidence_of_unemployment_benefits_and_almp_to_poorest_quintile_of_total_u_almp_benefits	DOJO/WDI_coverage_of_unemployment_benefits_and_almp_of_population/coverage_of_unemployment_benefits_and_almp_of_population	DOJO/WDI_coverage_of_unemployment_benefits_and_almp_in_4th_quintile_of_population/coverage_of_unemployment_benefits_and_almp_in_4th_quintile_of_population																																																													
wm/concept/entity/people/migration/refugee	wm/concept/entity/people/migration/refugee	"IDMC Displacement Data due to Disasters for East Africa, 2010-2019 (disaster_data_East-Africa.xlsx)"	null		DOJO/fed1b025-a039-4a60-b033-59114ede203e/NUMBER OF WOUNDED	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/NUMBER OF WOUNDED	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/NUMBER OF WOUNDED																																																													
wm/concept/entity/people/migration/refugee	wm/concept/entity/people/migration/refugee	People (Millions)	null		DOJO/fed1b025-a039-4a60-b033-59114ede203e/NUMBER OF WOUNDED	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/NUMBER OF WOUNDED	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/NUMBER OF WOUNDED																																																													
wm/concept/entity/people/migration/refugee	wm/concept/entity/people/migration/refugee	World Bank Conflict Indicators	null		DOJO/fed1b025-a039-4a60-b033-59114ede203e/NUMBER OF WOUNDED	DOJO/1f853c0d-5cde-4f94-8811-6bb9bd84d2d6/NUMBER OF WOUNDED	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/NUMBER OF WOUNDED																																																													
